Quantidade de comparaçoes na busca: 37425
chave: 11501, status: O
chave: 51502, status: O
chave: 43504, status: O
chave: 59503, status: O
chave: 3505, status: O
chave: 3507, status: O
chave: 19503, status: O
chave: 83506, status: O
chave: 51510, status: O
chave: 59504, status: O
chave: 43502, status: O
chave: 75506, status: O
chave: 75504, status: O
chave: 43505, status: O
chave: 51501, status: O
chave: 3504, status: O
chave: 51507, status: O
chave: 51509, status: O
chave: 35505, status: O
chave: 11508, status: O
chave: 3502, status: O
chave: 83504, status: O
chave: 67510, status: O
chave: 51506, status: O
chave: 67501, status: O
chave: 83505, status: O
chave: 35510, status: O
chave: 27505, status: O
chave: 43509, status: O
chave: 19507, status: O
chave: 27503, status: O
chave: 11504, status: O
chave: 35509, status: O
chave: 83507, status: O
chave: 83509, status: O
chave: 11510, status: O
chave: 83508, status: O
chave: 75500, status: O
chave: 35501, status: O
chave: 11505, status: O
chave: 59505, status: O
chave: 59500, status: O
chave: 11500, status: O
chave: 27501, status: O
chave: 75509, status: O
chave: 59506, status: O
chave: 51505, status: O
chave: 19501, status: O
chave: 75502, status: O
chave: 27508, status: O
chave: 83501, status: O
chave: 35507, status: O
chave: 67506, status: O
chave: 11506, status: O
chave: 19505, status: O
chave: 59501, status: O
chave: 83502, status: O
chave: 3506, status: O
chave: 67509, status: O
chave: 3500, status: O
chave: 27510, status: O
chave: 35504, status: O
chave: 83503, status: O
chave: 3508, status: O
chave: 67504, status: O
chave: 43507, status: O
chave: 3510, status: O
chave: 43500, status: O
chave: 43506, status: O
chave: 3501, status: O
chave: 27506, status: O
chave: 19504, status: O
chave: 67502, status: O
chave: 67503, status: O
chave: 59502, status: O
chave: 11509, status: O
chave: 43510, status: O
chave: 3509, status: O
chave: 59507, status: O
chave: 27502, status: O
chave: 19500, status: O
chave: 75505, status: O
chave: 83510, status: O
chave: 3503, status: O
chave: 83500, status: O
chave: 75507, status: O
chave: 19508, status: O
chave: 43508, status: O
chave: 35503, status: O
chave: 51503, status: O
chave: 35502, status: O
chave: 75503, status: O
chave: 59509, status: O
chave: 67505, status: O
chave: 11503, status: O
chave: 67508, status: O
chave: 27509, status: O
chave: 27500, status: O
chave: 19510, status: O
chave: 75510, status: O
chave: 11502, status: O
chave: 51500, status: O
chave: 35508, status: O
chave: 35506, status: O
chave: 19509, status: O
chave: 59510, status: O
chave: 51508, status: O
chave: 43503, status: O
chave: 27504, status: O
chave: 27507, status: O
chave: 11507, status: O
chave: 75508, status: O
chave: 59508, status: O
chave: 51504, status: O
chave: 67507, status: O
chave: 19506, status: O
chave: 75501, status: O
chave: 67500, status: O
chave: 19502, status: O
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 8500, status: O
chave: 8501, status: O
chave: 80500, status: O
chave: 24501, status: O
chave: 88504, status: O
chave: 64500, status: O
chave: 72504, status: O
chave: 40507, status: O
chave: 32508, status: O
chave: 80509, status: O
chave: 8507, status: O
chave: 16510, status: O
chave: 88508, status: O
chave: 40505, status: O
chave: 8506, status: O
chave: 88507, status: O
chave: 64510, status: O
chave: 16504, status: O
chave: 32501, status: O
chave: 48509, status: O
chave: 32505, status: O
chave: 48508, status: O
chave: 40510, status: O
chave: 24502, status: O
chave: 503, status: O
chave: 56502, status: O
chave: 8510, status: O
chave: 80503, status: O
chave: 80504, status: O
chave: 40501, status: O
chave: 48504, status: O
chave: 48501, status: O
chave: 48507, status: O
